PM10,EPA_index,CO,temperature,humidity,PM25_lag_1,PM25_lag_2,PM25_lag_3,PM25_rolling_mean_3,PM10_rolling_mean_3,CO_rolling_mean_3,PM25_rolling_mean_6,PM10_rolling_mean_6,CO_rolling_mean_6,PM25_rolling_mean_12,PM10_rolling_mean_12,CO_rolling_mean_12
45.0,2,1281.7,33.2,53,20.1,8.0,14.7,17.099999999999994,33.400000000000006,1085.9333333333334,20.75,39.583333333333336,1263.95,20.916666666666668,40.34166666666667,1282.8583333333333
41.0,2,1375.2,32.3,63,23.2,20.1,8.0,21.733333333333324,40.900000000000006,1339.6000000000001,19.566666666666666,37.18333333333334,1208.3166666666666,21.099999999999998,40.449999999999996,1296.2083333333333
83.6,2,2430.0,29.2,79,21.9,23.2,20.1,28.466666666666658,56.53333333333334,1695.6333333333332,21.366666666666664,42.46666666666667,1335.1666666666667,22.116666666666664,43.14166666666667,1349.6166666666666
79.8,3,3097.5,30.2,70,40.3,21.9,23.2,37.76666666666666,68.13333333333334,2300.9,27.433333333333334,50.76666666666667,1693.4166666666667,25.150000000000002,47.166666666666664,1535.4250000000002
84.4,3,2510.1,30.2,62,51.1,40.3,21.9,45.36666666666665,82.60000000000001,2679.2000000000003,33.550000000000004,61.75,2009.3999999999999,27.799999999999997,51.958333333333336,1671.1666666666667
59.4,2,2536.8,31.3,66,44.7,51.1,40.3,44.5,74.53333333333335,2714.7999999999997,36.483333333333334,65.53333333333335,2205.2166666666667,28.191666666666666,52.09166666666667,1715.675
40.7,2,1215.0,33.3,56,37.7,44.7,51.1,33.9,61.5,2087.2999999999997,35.833333333333336,64.81666666666668,2194.1,28.291666666666668,52.199999999999996,1729.0249999999999
59.8,2,1268.4,29.2,84,19.3,37.7,44.7,26.999999999999996,53.300000000000004,1673.4000000000003,36.18333333333334,67.95,2176.3,27.875,52.56666666666667,1692.3083333333334
79.4,2,1895.9,29.3,79,24.0,19.3,37.7,25.966666666666658,59.96666666666667,1459.7666666666667,35.233333333333334,67.25,2087.2833333333333,28.3,54.85833333333334,1711.2249999999997
88.8,3,2750.4,31.2,66,34.6,24.0,19.3,36.4,76.0,1971.5666666666668,35.15,68.75,2029.4333333333334,31.291666666666668,59.75833333333333,1861.425
13.5,1,203.0,32.4,56,50.6,34.6,24.0,31.533333333333328,60.56666666666666,1616.4333333333336,29.266666666666666,56.93333333333334,1644.9166666666667,31.408333333333335,59.34166666666667,1827.1583333333335
47.545,2,508.75,31.1,59,9.4,50.6,34.6,30.791666666666657,49.94833333333333,1154.05,28.379166666666666,54.9575,1306.9083333333335,32.43125,60.245416666666664,1756.0625
18.13,1,338.55,31.1,63,32.375,9.4,50.6,18.056666666666658,26.391666666666666,350.09999999999997,27.228333333333335,51.19583333333333,1160.8333333333333,31.530833333333334,58.00625,1677.4666666666665
17.76,1,320.05,31.2,63,12.395,32.375,9.4,18.808333333333323,27.811666666666667,389.1166666666666,25.170833333333334,44.189166666666665,1002.7750000000001,30.67708333333334,56.069583333333334,1589.5375000000001
24.975,1,353.35,31.4,63,11.655,12.395,32.375,13.073333333333323,20.288333333333334,337.31666666666666,21.9325,35.11833333333333,745.6833333333334,28.582916666666666,51.18416666666666,1416.4833333333333
32.375,2,418.1,30.1,70,15.17,11.655,12.395,15.539999999999992,25.036666666666665,363.8333333333333,16.798333333333336,25.714166666666667,356.9666666666667,25.974166666666665,47.23208333333333,1193.2
19.425,1,410.7,29.2,70,19.795,15.17,11.655,15.909999999999991,25.59166666666667,394.05,17.359166666666667,26.701666666666668,391.5833333333333,23.312916666666666,41.8175,1018.25
55.5,2,479.15,24.2,100,12.765,19.795,15.17,23.433333333333323,35.76666666666667,435.98333333333335,18.253333333333334,28.027500000000003,386.65000000000003,23.31625,41.4925,846.7791666666667
49.21,2,495.8,32.4,63,37.74,12.765,19.795,27.934999999999988,41.37833333333334,461.8833333333334,21.7375,33.2075,412.85833333333335,24.482916666666664,42.20166666666667,786.8458333333333
49.58,2,481.0,27.3,94,33.3,37.74,12.765,34.90333333333332,51.43000000000001,485.3166666666666,25.406666666666666,38.51083333333334,439.68333333333334,25.288749999999997,41.35,721.2291666666666
40.145,2,445.85,28.1,79,33.67,33.3,37.74,31.141666666666655,46.31166666666667,474.2166666666667,27.287499999999998,41.03916666666667,455.09999999999997,24.61,38.07875,600.3916666666667
61.42,2,510.6,32.2,59,26.455,33.67,33.3,31.573333333333323,50.38166666666667,479.15000000000003,29.754166666666666,45.879999999999995,470.5166666666667,23.27625,35.79708333333334,413.7416666666666
54.76,2,555.0,27.1,89,34.595,26.455,33.67,31.326666666666654,52.10833333333334,503.81666666666666,33.115,51.76916666666667,494.5666666666666,25.237083333333334,39.23541666666667,443.075
51.615,2,629.0,25.1,100,32.93,34.595,26.455,33.176666666666655,55.93166666666667,564.8666666666667,32.15916666666667,51.12166666666667,519.5416666666666,25.20625,39.57458333333333,453.0958333333333
38.665,2,786.25,33.2,59,32.005,32.93,34.595,30.648333333333326,48.34666666666667,656.75,31.110833333333332,49.36416666666667,567.9499999999999,26.424166666666665,41.285833333333336,490.4041666666667
69.93,3,778.85,24.1,100,27.01,32.005,32.93,36.01333333333332,53.40333333333334,731.3666666666667,33.67,52.75583333333333,617.5916666666667,29.538333333333338,45.63333333333333,528.6375
14.615,1,444.0,26.2,94,49.025,27.01,32.005,28.73666666666666,41.07,669.6999999999999,30.956666666666667,48.50083333333333,617.2833333333334,29.122083333333332,44.77,536.1916666666667
10.915,1,358.9,30.2,75,10.175,49.025,27.01,22.261666666666656,31.820000000000007,527.25,26.455,40.083333333333336,592.0,28.104583333333334,42.98166666666666,531.2583333333333
16.835,1,355.2,31.2,71,7.585,10.175,49.025,9.311666666666655,14.121666666666671,386.0333333333333,22.662500000000005,33.7625,558.7,27.888749999999998,42.765833333333326,526.6333333333333
12.395,1,382.95,30.3,66,10.175,7.585,10.175,8.633333333333322,13.38166666666667,365.68333333333334,18.685000000000002,27.22583333333333,517.6916666666666,25.422083333333333,39.17375,518.6166666666667
45.88,2,834.35,30.3,70,8.14,10.175,7.585,16.58833333333332,25.036666666666672,524.1666666666666,19.425,28.42833333333333,525.7083333333334,25.267916666666668,38.89625,546.8291666666667
67.34,3,741.85,33.1,59,31.45,8.14,10.175,28.428333333333324,41.87166666666667,653.0500000000001,18.87,27.99666666666667,519.5416666666666,26.27,40.376250000000006,568.5666666666667
51.43,2,852.85,31.1,71,45.695,31.45,8.14,37.49333333333332,54.88333333333333,809.6833333333334,23.063333333333333,34.1325,587.6833333333333,27.01,41.31666666666667,602.4833333333333
100.825,4,839.9,31.2,71,35.335,45.695,31.45,50.44333333333333,73.19833333333334,811.5333333333333,33.51583333333333,49.11750000000001,667.85,29.985416666666666,44.60041666666666,629.9250000000001
33.485,2,471.75,30.1,84,70.3,35.335,45.695,42.79666666666665,61.913333333333334,721.5,35.612500000000004,51.892500000000005,687.275,29.1375,42.82749999999999,622.9875000000001
